# lon, lat, height_above_datum, mean_residual, num_observations
# Geodetic Datum --> Name: WGS_1984  Spheroid: WGS 84  Semi-major axis: 6378137  Semi-minor axis: 6356752.3142451793  Meridian: Greenwich at 0  Proj4 Str: +proj=longlat +datum=WGS84 +no_defs
-49.465161118688677, 69.030166634697849, 871.32409124257242, 0.14293018334997198, 2
-49.465118727860826, 69.031527742423492, 870.73682096686684, 0.16997507372488097, 2
-49.465080580708786, 69.031530786119546, 870.18873501003191, 0.026089003254012748, 2
-49.465136157348759, 69.031323726618666, 872.02599929999144, 0.0078627048131626985, 2
-49.465139951615882, 69.03115414624294, 872.98269631289975, 0.14094383324019191, 3
-49.465101700513692, 69.031488482417302, 872.65937727168307, 0.018346457161063277, 2
-49.465114299146222, 69.031760623329674, 872.63023656073085, 0.025250327348875237, 2
-49.465141901464747, 69.031184646930271, 874.21635567829333, 0.10930719943564908, 3
-49.465098757256122, 69.031771054664347, 873.32784408225746, 0.037742353370852771, 2
-49.465125738077205, 69.031550912027981, 874.23872692469217, 0.044944848485726316, 2
-49.465124462352847, 69.031189919256576, 874.8615638473359, 0.02057553584108026, 2
-49.465100118351678, 69.031774490341718, 873.64689552104608, 0.015656476154356353, 2
-49.465125290284597, 69.03135166709724, 874.87457507378701, 0.0034591562911714399, 2
-49.465140520749614, 69.031159349038802, 876.47351834051301, 0.088003626735315074, 3
-49.465135681103021, 69.03119683055921, 876.82252759359562, 0.080384967378777886, 3
-49.465103551373922, 69.031643184435325, 875.91743661915291, 0.075560712995151866, 2
-49.465097942640796, 69.031581625974056, 876.02993756865885, 0.018416555690290503, 2
-49.46510174458524, 69.031591172012114, 876.18146070344164, 0.035790450536010598, 2
-49.465128640875868, 69.031193140163055, 877.28375527898174, 0.99923331907927926, 3
-49.465106130411641, 69.031457123278244, 877.30604340470745, 0.083983438985835809, 2
-49.465089103018329, 69.031464647427455, 877.01922137960048, 0.060024405798301601, 3
-49.465144366577221, 69.03120171028705, 878.99147654000626, 0.025673387912382165, 2
-49.465088947325945, 69.031464577607309, 877.72007176165505, 0.051500927865081141, 3
-49.465104399247316, 69.031454467937891, 878.01511475870154, 0.018328972699528798, 3
-49.465163485217786, 69.030716068662983, 880.08032908128985, 0.17215834256671486, 4
-49.465160681778407, 69.030569991162437, 880.22524320365881, 0.029554113963226214, 3
-49.465141869405748, 69.030310187200001, 880.17819541102801, 0.067309104646238904, 2
-49.465095966720796, 69.031459736038613, 879.09073334839854, 0.16436263440007476, 3
-49.465160623944215, 69.030277117361607, 881.14589552625239, 0.060581631585801106, 4
-49.465120290482645, 69.031259533060137, 879.96530697658761, 0.023717522310408103, 3
-49.465167583329738, 69.030869987958013, 881.41840606544599, 0.046247394428307047, 2
-49.465154054116006, 69.030870511279957, 881.43354269965005, 0.042253728949864233, 3
-49.465106553164581, 69.031463827353051, 880.54671053553079, 0.015874143856733608, 2
-49.46509191759494, 69.031620213106393, 880.21188126798245, 0.066047098999752307, 2
-49.46510336122445, 69.031456217996421, 881.27950542537053, 0.08972656255059587, 3
